,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mbi3.30Zm1.79T04.0000_iTp0.00_ACFep00_aFem02,-0.11093916517513973,-0.08136562564763108,0.09107501037208106,0.27582960922740046,0.14666980926561138,0.7704225409662492,0.9120066504478728,0.47569058350361876,0.6923430975829795,0.733821657868769,0.39291765080752616,0.13834891673332222,0.13353513076028628,0.5786758687094329,0.6670906452921566
Mbi3.30Zm1.79T04.5000_iTp0.00_ACFep00_aFem02,-0.10968452093148384,-0.08049726374382818,0.09222518030329155,0.35359935950294796,0.14299405146363836,0.785636394319886,0.9128091765238383,0.49947112079019895,0.7018868088911009,0.7384308409076487,0.3974056549980672,0.14660456382246648,0.1304913453079193,0.5963916028256551,0.6935568981744941
Mbi3.30Zm1.79T05.0000_iTp0.00_ACFep00_aFem02,-0.10914159922198798,-0.07988497400346045,0.09844239591575539,0.42148901341004064,0.1389429266202885,0.8294509208734293,0.9463542884136119,0.5120196766137641,0.7278564953572698,0.7591555736519138,0.40723395023481984,0.15378832315392316,0.13481672921004903,0.6141368379108536,0.6886557107164971
Mbi3.30Zm1.79T05.5000_iTp0.00_ACFep00_aFem02,-0.1061127309245493,-0.07752031559644126,0.09627942581042558,0.48532517734579805,0.13984836176253845,0.8383049733389927,0.9391278966500899,0.5113213060875377,0.7379079799996848,0.7690684811808726,0.4142092197098125,0.1564116825037646,0.1363296348298969,0.6178748416882673,0.6786055645314741
Mbi3.30Zm1.79T06.0000_iTp0.00_ACFep00_aFem02,-0.10619812248117391,-0.07755880125978373,0.10062376092084978,0.5227305313032248,0.13667217596641223,0.8561037531183464,0.9448990727426052,0.519926217218795,0.752699102010597,0.7825487476632984,0.42225395150979433,0.15716665541540434,0.1391463007658515,0.6290417224240552,0.6773189323524972
Mbi3.30Zm1.79T06.5000_iTp0.00_ACFep00_aFem02,-0.10757611029265399,-0.07872195525618104,0.1040282958710982,0.5491926010698289,0.1326737144454433,0.8677973804455137,0.9495772430205559,0.5331236282851032,0.7620818733057387,0.7894293178783715,0.42840464970535225,0.15884703302043493,0.14093818089783905,0.6405982614962612,0.6872314312837464
Mbi3.30Zm1.79T07.0000_iTp0.00_ACFep00_aFem02,-0.10769772062994801,-0.07892060579830815,0.10578742271365776,0.570049826415552,0.1315561884102342,0.87997320473904,0.9581179007117393,0.5396634528086187,0.7718778226884296,0.7983000342627198,0.433890488979498,0.16018900146455664,0.14276741740110047,0.6484957975797242,0.6873914957080031
Mbi3.30Zm1.79T07.5000_iTp0.00_ACFep00_aFem02,-0.10656774933328902,-0.07817477830279548,0.10597597513282976,0.5956225657676358,0.13415653957816198,0.8811779867689253,0.9564641028638075,0.5442147201001999,0.7774672228848053,0.8034911339305961,0.4382305831560993,0.161195141618572,0.1428883281741435,0.6535094749272802,0.688461802620073
Mbi3.30Zm1.79T08.0000_iTp0.00_ACFep00_aFem02,-0.10506264212674365,-0.07697442331097258,0.10740127464201754,0.6234711967390322,0.13668690134149608,0.8874552185578464,0.9593620427270476,0.5515303814488187,0.7846814941748591,0.8095819432983242,0.44311935857212487,0.16194562347109212,0.14309890451460625,0.6607730495223124,0.691893658833402
Mbi3.30Zm1.79T08.5000_iTp0.00_ACFep00_aFem02,-0.1042034363617992,-0.07620362802691237,0.10704555904859006,0.6513568373751719,0.13696080527122806,0.9000293722890431,0.9663810151359883,0.5503589443157502,0.7922644375538105,0.815880335072638,0.4473293081072649,0.16401547684321743,0.1449604176879757,0.6630754415530221,0.6844644259445559
