,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mku1.30Zm1.79T14.0000_iTp0.00_ACFep00_aFem02,-0.09061763897264716,-0.06261911619721651,0.061771097265029974,0.6144671514186278,0.13774462684418984,0.8666683908806815,1.0090271493770404,0.4289379073527569,0.6830735823795439,0.68564428519511,0.3771850751797601,0.18207837963355847,0.12193014304520851,0.5415763114483039,0.6267733000560999
Mku1.30Zm1.49T00.0300_iTp0.00_ACFep00_aFem02,-0.07767344078386852,-0.03822932159009908,0.2541898891178964,0.4917944301705921,0.41568635886118105,0.4509965117144119,1.1209720225037973,0.31706123427348587,0.45623013057935413,0.46095943110425264,0.24216043532268866,0.1288351090602484,0.1760300860253119,0.38088415839400896,0.6913755836721115
Mku1.30Zm1.49T00.0400_iTp0.00_ACFep00_aFem02,-0.09018228037313206,-0.04854477113975576,0.1656174720400189,0.2981978253780899,0.35724464073354767,0.35450546467700145,0.9872802352990478,0.2236844700906001,0.36088944973720566,0.3769067358225788,0.19592833082002994,0.11319849010298394,0.14967999393608783,0.2858820638092534,0.6063584346695561
Mku1.30Zm1.49T00.0500_iTp0.00_ACFep00_aFem02,-0.10308597454523186,-0.06022589656860516,0.04693098670790893,0.0262079801510479,0.3029997980847253,0.21487501602122308,0.8512946768088703,0.08893735862244664,0.22046841500073971,0.2576506456531411,0.1335001679016576,0.08477599956138825,0.12571404435184,0.14329622296759753,0.3720301738266404
Mku1.30Zm1.49T00.0600_iTp0.00_ACFep00_aFem02,-0.11020972232233728,-0.0659052537416044,0.04711409160538492,0.003037493008977584,0.2961014677800293,0.23719150614225487,0.8394446425690095,0.09883009659996489,0.2182605108070774,0.2571774739302908,0.1393221739493702,0.07827771775532406,0.11541145473865107,0.15049130935033286,0.4157433767289696
Mku1.30Zm1.49T00.0700_iTp0.00_ACFep00_aFem02,-0.11615834476467826,-0.07069913133858499,0.030735911953766626,-0.060443395416738856,0.28113993266236786,0.25023545516886886,0.8422721205723328,0.09762602422029805,0.22945007457838063,0.2636846624604518,0.1530667746405647,0.08813484868499481,0.12320078623377684,0.1527616143399491,0.39594056912932657
Mku1.30Zm1.49T00.0800_iTp0.00_ACFep00_aFem02,-0.12106732248677096,-0.07482670459043117,0.03118666267124478,-0.13322800682208966,0.26133502265886827,0.28299842823276483,0.8550628233411297,0.11018288215253721,0.2605429451762161,0.29567559968413404,0.17991777126700534,0.09547333397148791,0.1304192984846442,0.17260144095807678,0.3961855755104348
Mku1.30Zm1.49T00.0900_iTp0.00_ACFep00_aFem02,-0.12364164778535333,-0.07722352876161517,0.025123666241433033,-0.20250812346594738,0.2361696738217828,0.33701093234276885,0.891411009172674,0.046554686142189966,0.31994350941138816,0.31825007133671135,0.2019768846043548,0.10471568257192726,0.12079374903131548,0.12195406991986364,0.14589518775045623
Mku1.30Zm1.49T00.1000_iTp0.00_ACFep00_aFem02,-0.1270440378436113,-0.0799976932930304,0.0220376243517811,-0.24249514766614658,0.21890172859537493,0.3580366522602635,0.9097676119106783,0.04365704340105176,0.3448291262107252,0.33057561905938637,0.21608338550887565,0.1073623014999473,0.1204121804213259,0.12198354665461195,0.12927668544464313
Mku1.30Zm1.49T00.1500_iTp0.00_ACFep00_aFem02,-0.13990040466585024,-0.09166635768228666,0.021430903901986022,-0.45326378133634004,0.14214689976748823,0.3988653515761853,0.8683125964114695,0.045992962065213853,0.39124047360906183,0.35983516128502274,0.23274883117569797,0.11729031413343055,0.11556350140747715,0.13262680621328207,0.12247225160406036
Mku1.30Zm1.49T00.2000_iTp0.00_ACFep00_aFem02,-0.14920949827580204,-0.10046672592649165,0.02543447417009051,-0.5444563676743595,0.11733815659643144,0.40397103448054716,0.8454201489773132,0.08508158347428627,0.3893242785820499,0.362912384040656,0.22826311959935544,0.11257230736031995,0.1146437084486425,0.18026402769245564,0.22620961647268192
Mku1.30Zm1.49T00.2500_iTp0.00_ACFep00_aFem02,-0.16018043820385458,-0.11105530743198122,0.0349636599365838,-0.6512428914501136,0.1263049784129045,0.4202852476867242,0.864566513924477,0.13353717708269314,0.41668423550502054,0.3936610143516743,0.2260627353042828,0.1157243551177456,0.1143955770651991,0.23405552519723474,0.3295809461616724
Mku1.30Zm1.49T00.3000_iTp0.00_ACFep00_aFem02,-0.15818094372532707,-0.10944352899941145,0.03520715996380487,-0.5972641596365205,0.12278096338193939,0.4367138639236821,0.8370072676220799,0.15682824811409676,0.41518044182120195,0.4002424447789225,0.22332157150790322,0.11749802407655553,0.10772379454059523,0.253881991027806,0.38465500709205336
Mku1.30Zm1.49T00.3500_iTp0.00_ACFep00_aFem02,-0.16347882730764718,-0.11466254696889452,0.03966199527887373,-0.6739433799636732,0.10771779020023814,0.44567783038190506,0.8222686090267287,0.1873199971940555,0.4078039878819325,0.3979087577108673,0.2168093161335513,0.1125026916244364,0.10621025698391591,0.27544662097975037,0.464979605246869
Mku1.30Zm1.49T00.4000_iTp0.00_ACFep00_aFem02,-0.16788094749970167,-0.11907341886146781,0.043321967422394705,-0.7356723681766788,0.09930606902551885,0.46325720916790936,0.832957807746407,0.21591328229165613,0.40754491216920835,0.40209959579930266,0.21875403509376465,0.11269146454400773,0.10757138854691776,0.296083027462174,0.5333532931222045
Mku1.30Zm1.49T00.4500_iTp0.00_ACFep00_aFem02,-0.16860193768273188,-0.11983991726498029,0.04765406824077858,-0.7153982247746645,0.0927565258129646,0.4782851899830794,0.8529963405839605,0.24178208026808284,0.41511671761987595,0.40393611471484486,0.22414224117468445,0.11534663107963487,0.11231166180441259,0.31561189473792584,0.5903943450848704
Mku1.30Zm1.49T00.5000_iTp0.00_ACFep00_aFem02,-0.1696507706391663,-0.12095930622784563,0.05062246045929259,-0.7004280008385717,0.08485560720090425,0.4841807593151379,0.8638443167799879,0.27954141662960325,0.4094067260422998,0.4013307637229374,0.22450538349971202,0.1141062607977862,0.11394123209395104,0.3373633318994224,0.6895978541970452
Mku1.30Zm1.49T00.6000_iTp0.00_ACFep00_aFem02,-0.16911649516035243,-0.12084504506976482,0.05851761317320131,-0.6810529821371265,0.0773975109563996,0.5014281940240244,0.8915108808659623,0.34120562638371915,0.4138295700173862,0.40759767351494075,0.2274660373884014,0.10849605645915696,0.11653960850534757,0.37497412893688853,0.8307628680939682
Mku1.30Zm1.49T00.7000_iTp0.00_ACFep00_aFem02,-0.16580034803149762,-0.11870478167315039,0.06602273035095196,-0.6395072107700894,0.07911930552462251,0.5243455740111534,0.923043493410242,0.3853437509665025,0.42405292215916535,0.41705947434377677,0.22565418900605982,0.10259862214725667,0.115362994918732,0.4033008515207665,0.9162717196147152
Mku1.30Zm1.49T00.8000_iTp0.00_ACFep00_aFem02,-0.15584486197889041,-0.11130566457018738,0.07044366256560698,-0.523307095382901,0.09625576852563024,0.5538988234654778,0.989999778617838,0.4275511976047003,0.4341742313279515,0.43239634366577484,0.22287791665959972,0.09442848903600215,0.10936584163268405,0.4306029190955377,0.9867660175463391
